Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,384,128,2
100,2,8,384,128,0
100,5,1,1024,1024,1
100,4,8,682,128,1
100,6,2,1024,512,2
100,7,4,768,256,3
100,8,8,768,128,6
100,9,16,768,64,12
100,10,32,768,32,24
100,11,32,768,32,24
100,12,32,736,32,23
100,13,32,736,32,23
100,14,32,736,32,23
228,1,8,384,128,2
228,2,8,384,128,0
228,5,1,2048,1024,2
228,4,8,1322,128,1
228,6,2,1536,512,3
228,7,4,1536,256,6
228,8,8,1536,128,12
228,9,16,1472,64,23
228,10,32,1440,32,45
228,11,32,1440,32,45
228,12,32,1440,32,45
228,13,32,1408,32,44
228,14,32,1408,32,44
362,1,8,384,128,2
362,2,8,384,128,0
362,5,1,3072,1024,3
362,4,8,1992,128,1
362,6,2,2560,512,5
362,7,4,2304,256,9
362,8,8,2176,128,17
362,9,16,2176,64,34
362,10,32,2144,32,67
362,11,32,2144,32,67
362,12,32,2144,32,67
362,13,32,2144,32,67
362,14,32,2144,32,67
490,1,8,384,128,2
490,2,8,384,128,0
490,5,1,3072,1024,3
490,4,8,2632,128,1
490,6,2,3072,512,6
490,7,4,3072,256,12
490,8,8,2944,128,23
490,9,16,2880,64,45
490,10,32,2848,32,89
490,11,32,2848,32,89
490,12,32,2816,32,88
490,13,32,2816,32,88
490,14,32,2816,32,88
623,1,8,384,128,2
623,2,8,384,128,0
623,5,1,4096,1024,4
623,4,8,3297,128,1
623,6,2,3584,512,7
623,7,4,3584,256,14
623,8,8,3584,128,28
623,9,16,3584,64,56
623,10,32,3552,32,111
623,11,32,3552,32,111
623,12,32,3552,32,111
623,13,32,3552,32,111
623,14,32,3552,32,111
751,1,8,384,128,2
751,2,8,384,128,0
751,5,1,5120,1024,5
751,4,8,3937,128,1
751,6,2,4608,512,9
751,7,4,4352,256,17
751,8,8,4352,128,34
751,9,16,4288,64,67
751,10,32,4224,32,132
751,11,32,4224,32,132
751,12,32,4224,32,132
751,13,32,4224,32,132
751,14,32,4224,32,132
884,1,8,384,128,2
884,2,8,384,128,0
884,5,1,5120,1024,5
884,4,8,4602,128,1
884,6,2,5120,512,10
884,7,4,5120,256,20
884,8,8,4992,128,39
884,9,16,4992,64,78
884,10,32,4960,32,155
884,11,32,4960,32,155
884,12,32,4960,32,155
884,13,32,4928,32,154
884,14,32,4928,32,154
1012,1,8,384,128,2
1012,2,8,384,128,0
1012,5,1,6144,1024,6
1012,4,8,5242,128,1
1012,6,2,6144,512,12
1012,7,4,5888,256,23
1012,8,8,5632,128,44
1012,9,16,5632,64,88
1012,10,32,5632,32,176
1012,11,32,5632,32,176
1012,12,32,5632,32,176
1012,13,32,5632,32,176
1012,14,32,5632,32,176
1145,1,8,384,128,2
1145,2,8,384,128,0
1145,5,1,7168,1024,7
1145,4,8,5907,128,1
1145,6,2,6656,512,13
1145,7,4,6400,256,25
1145,8,8,6400,128,50
1145,9,16,6400,64,100
1145,10,32,6368,32,199
1145,11,32,6336,32,198
1145,12,32,6336,32,198
1145,13,32,6336,32,198
1145,14,32,6336,32,198
1273,1,8,384,128,2
1273,2,8,384,128,0
1273,5,1,7168,1024,7
1273,4,8,6547,128,1
1273,6,2,7168,512,14
1273,7,4,7168,256,28
1273,8,8,7040,128,55
1273,9,16,7040,64,110
1273,10,32,7040,32,220
1273,11,32,7040,32,220
1273,12,32,7040,32,220
1273,13,32,7040,32,220
1273,14,32,7040,32,220
1406,1,8,384,128,2
1406,2,8,384,128,0
1406,5,1,8192,1024,8
1406,4,8,7212,128,1
1406,6,2,8192,512,16
1406,7,4,7936,256,31
1406,8,8,7808,128,61
1406,9,16,7744,64,121
1406,10,32,7744,32,242
1406,11,32,7744,32,242
1406,12,32,7744,32,242
1406,13,32,7744,32,242
1406,14,32,7744,32,242
1534,1,8,384,128,2
1534,2,8,384,128,0
1534,5,1,9216,1024,9
1534,4,8,7852,128,1
1534,6,2,8704,512,17
1534,7,4,8448,256,33
1534,8,8,8448,128,66
1534,9,16,8448,64,132
1534,10,32,8448,32,264
1534,11,32,8448,32,264
1534,12,32,8448,32,264
1534,13,32,8416,32,263
1534,14,32,8416,32,263
1667,1,8,384,128,2
1667,2,8,384,128,0
1667,5,1,9216,1024,9
1667,4,8,8517,128,1
1667,6,2,9216,512,18
1667,7,4,9216,256,36
1667,8,8,9216,128,72
1667,9,16,9152,64,143
1667,10,32,9152,32,286
1667,11,32,9152,32,286
1667,12,32,9152,32,286
1667,13,32,9152,32,286
1667,14,32,9152,32,286
1795,1,8,384,128,2
1795,2,8,384,128,0
1795,5,1,10240,1024,10
1795,4,8,9157,128,1
1795,6,2,10240,512,20
1795,7,4,9984,256,39
1795,8,8,9856,128,77
1795,9,16,9856,64,154
1795,10,32,9856,32,308
1795,11,32,9824,32,307
1795,12,32,9824,32,307
1795,13,32,9824,32,307
1795,14,32,9824,32,307
1928,1,8,384,128,2
1928,2,8,384,128,0
1928,5,1,11264,1024,11
1928,4,8,9822,128,1
1928,6,2,10752,512,21
1928,7,4,10752,256,42
1928,8,8,10624,128,83
1928,9,16,10560,64,165
1928,10,32,10560,32,330
1928,11,32,10560,32,330
1928,12,32,10528,32,329
1928,13,32,10528,32,329
1928,14,32,10528,32,329
2061,1,8,384,128,2
2061,2,8,384,128,0
2061,5,1,12288,1024,12
2061,4,8,10487,128,1
2061,6,2,11264,512,22
2061,7,4,11264,256,44
2061,8,8,11264,128,88
2061,9,16,11264,64,176
2061,10,32,11264,32,352
2061,11,32,11264,32,352
2061,12,32,11264,32,352
2061,13,32,11264,32,352
2061,14,32,11264,32,352
2189,1,8,384,128,2
2189,2,8,384,128,0
2189,5,1,12288,1024,12
2189,4,8,11127,128,1
2189,6,2,12288,512,24
2189,7,4,12032,256,47
2189,8,8,12032,128,94
2189,9,16,11968,64,187
2189,10,32,11968,32,374
2189,11,32,11936,32,373
2189,12,32,11936,32,373
2189,13,32,11936,32,373
2189,14,32,11936,32,373
2320,1,8,384,128,2
2320,2,8,384,128,0
2320,5,1,13312,1024,13
2320,4,8,11782,128,1
2320,6,2,12800,512,25
2320,7,4,12800,256,50
2320,8,8,12672,128,99
2320,9,16,12672,64,198
2320,10,32,12672,32,396
2320,11,32,12640,32,395
2320,12,32,12640,32,395
2320,13,32,12640,32,395
2320,14,32,12640,32,395
2448,1,8,384,128,2
2448,2,8,384,128,0
2448,5,1,14336,1024,14
2448,4,8,12422,128,1
2448,6,2,13824,512,27
2448,7,4,13568,256,53
2448,8,8,13440,128,105
2448,9,16,13376,64,209
2448,10,32,13344,32,417
2448,11,32,13312,32,416
2448,12,32,13312,32,416
2448,13,32,13312,32,416
2448,14,32,13312,32,416
2579,1,8,384,128,2
2579,2,8,384,128,0
2579,5,1,14336,1024,14
2579,4,8,13077,128,1
2579,6,2,14336,512,28
2579,7,4,14080,256,55
2579,8,8,14080,128,110
2579,9,16,14080,64,220
2579,10,32,14048,32,439
2579,11,32,14048,32,439
2579,12,32,14048,32,439
2579,13,32,14016,32,438
2579,14,32,14016,32,438
2707,1,8,384,128,2
2707,2,8,384,128,0
2707,5,1,15360,1024,15
2707,4,8,13717,128,1
2707,6,2,14848,512,29
2707,7,4,14848,256,58
2707,8,8,14848,128,116
2707,9,16,14720,64,230
2707,10,32,14720,32,460
2707,11,32,14720,32,460
2707,12,32,14720,32,460
2707,13,32,14720,32,460
2707,14,32,14720,32,460
2707,15,8,0,128,0
2707,16,8,0,128,0
2707,17,8,0,128,0
2707,18,8,0,128,0
2707,19,8,0,128,0
2707,20,8,0,128,0
4098,1,8,384,128,2
4098,2,8,384,128,0
4098,5,1,15360,1024,15
4098,4,8,14352,128,2
4098,6,2,15360,512,30
4098,7,4,15104,256,59
4098,8,8,15104,128,118
4098,9,16,15104,64,236
4098,10,32,15072,32,471
4098,11,32,15072,32,471
4098,12,32,15072,32,471
4098,13,32,15072,32,471
4098,14,32,15072,32,471
4098,15,32,15072,32,471
4098,16,32,15040,32,470
4098,17,8,15104,128,118
4098,18,2,15360,512,30
4098,19,8,15104,128,118
4098,20,8,15104,128,118
4271,1,8,384,128,2
4271,2,8,384,128,0
4271,5,1,16384,1024,16
4271,4,8,14871,128,2
4271,6,2,15872,512,31
4271,7,4,15872,256,62
4271,8,8,15744,128,123
4271,9,16,15744,64,246
4271,10,32,15712,32,491
4271,11,32,15712,32,491
4271,12,32,15712,32,491
4271,13,32,15680,32,490
4271,14,32,15680,32,490
4271,15,32,15680,32,490
4271,16,32,15680,32,490
4271,17,8,15744,128,123
4271,18,2,15872,512,31
4271,19,8,15744,128,123
4271,20,8,15744,128,123
4442,1,8,384,128,2
4442,2,8,384,128,0
4442,5,1,16384,1024,16
4442,4,8,15384,128,2
4442,6,2,16384,512,32
4442,7,4,16384,256,64
4442,8,8,16384,128,128
4442,9,16,16384,64,256
4442,10,32,16320,32,510
4442,11,32,16320,32,510
4442,12,32,16320,32,510
4442,13,32,16320,32,510
4442,14,32,16320,32,510
4442,15,32,16320,32,510
4442,16,32,16320,32,510
4442,17,8,16384,128,128
4442,18,2,16384,512,32
4442,19,8,16384,128,128
4442,20,8,16384,128,128
4613,1,8,384,128,2
4613,2,8,384,128,0
4613,5,1,17408,1024,17
4613,4,8,15897,128,2
4613,6,2,17408,512,34
4613,7,4,17152,256,67
4613,8,8,17024,128,133
4613,9,16,16960,64,265
4613,10,32,16960,32,530
4613,11,32,16928,32,529
4613,12,32,16928,32,529
4613,13,32,16928,32,529
4613,14,32,16928,32,529
4613,15,32,16928,32,529
4613,16,32,16928,32,529
4613,17,8,17024,128,133
4613,18,2,17408,512,34
4613,19,8,17024,128,133
4613,20,8,17024,128,133
4784,1,8,384,128,2
4784,2,8,384,128,0
4784,5,1,18432,1024,18
4784,4,8,16410,128,2
4784,6,2,17920,512,35
4784,7,4,17664,256,69
4784,8,8,17664,128,138
4784,9,16,17600,64,275
4784,10,32,17568,32,549
4784,11,32,17568,32,549
4784,12,32,17568,32,549
