Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,256,128,1
100,2,8,896,128,0
100,6,1,1024,1024,1
100,5,8,491,128,1
100,7,2,1024,512,2
100,8,4,768,256,3
100,9,8,640,128,5
100,10,16,576,64,9
100,11,32,544,32,17
100,12,32,544,32,17
100,13,32,512,32,16
100,14,32,512,32,16
100,15,32,512,32,16
228,1,8,256,128,1
228,2,8,896,128,0
228,6,1,2048,1024,2
228,5,8,1131,128,1
228,7,2,1536,512,3
228,8,4,1280,256,5
228,9,8,1280,128,10
228,10,16,1280,64,20
228,11,32,1216,32,38
228,12,32,1216,32,38
228,13,32,1216,32,38
228,14,32,1216,32,38
228,15,32,1216,32,38
362,1,8,256,128,1
362,2,8,896,128,0
362,6,1,2048,1024,2
362,5,8,1801,128,1
362,7,2,2048,512,4
362,8,4,2048,256,8
362,9,8,2048,128,16
362,10,16,1984,64,31
362,11,32,1952,32,61
362,12,32,1952,32,61
362,13,32,1952,32,61
362,14,32,1920,32,60
362,15,32,1920,32,60
490,1,8,256,128,1
490,2,8,896,128,0
490,6,1,3072,1024,3
490,5,8,2441,128,1
490,7,2,3072,512,6
490,8,4,2816,256,11
490,9,8,2688,128,21
490,10,16,2624,64,41
490,11,32,2624,32,82
490,12,32,2624,32,82
490,13,32,2624,32,82
490,14,32,2624,32,82
490,15,32,2624,32,82
623,1,8,256,128,1
623,2,8,896,128,0
623,6,1,4096,1024,4
623,5,8,3106,128,1
623,7,2,3584,512,7
623,8,4,3584,256,14
623,9,8,3456,128,27
623,10,16,3392,64,53
623,11,32,3328,32,104
623,12,32,3328,32,104
623,13,32,3328,32,104
623,14,32,3328,32,104
623,15,32,3328,32,104
751,1,8,256,128,1
751,2,8,896,128,0
751,6,1,4096,1024,4
751,5,8,3746,128,1
751,7,2,4096,512,8
751,8,4,4096,256,16
751,9,8,4096,128,32
751,10,16,4032,64,63
751,11,32,4032,32,126
751,12,32,4032,32,126
751,13,32,4032,32,126
751,14,32,4032,32,126
751,15,32,4032,32,126
884,1,8,256,128,1
884,2,8,896,128,0
884,6,1,5120,1024,5
884,5,8,4411,128,1
884,7,2,5120,512,10
884,8,4,4864,256,19
884,9,8,4864,128,38
884,10,16,4736,64,74
884,11,32,4736,32,148
884,12,32,4736,32,148
884,13,32,4736,32,148
884,14,32,4736,32,148
884,15,32,4736,32,148
1012,1,8,256,128,1
1012,2,8,896,128,0
1012,6,1,6144,1024,6
1012,5,8,5051,128,1
1012,7,2,5632,512,11
1012,8,4,5632,256,22
1012,9,8,5504,128,43
1012,10,16,5440,64,85
1012,11,32,5440,32,170
1012,12,32,5440,32,170
1012,13,32,5408,32,169
1012,14,32,5408,32,169
1012,15,32,5408,32,169
1145,1,8,256,128,1
1145,2,8,896,128,0
1145,6,1,7168,1024,7
1145,5,8,5716,128,1
1145,7,2,6144,512,12
1145,8,4,6144,256,24
1145,9,8,6144,128,48
1145,10,16,6144,64,96
1145,11,32,6144,32,192
1145,12,32,6144,32,192
1145,13,32,6144,32,192
1145,14,32,6144,32,192
1145,15,32,6144,32,192
1273,1,8,256,128,1
1273,2,8,896,128,0
1273,6,1,7168,1024,7
1273,5,8,6356,128,1
1273,7,2,7168,512,14
1273,8,4,6912,256,27
1273,9,8,6912,128,54
1273,10,16,6848,64,107
1273,11,32,6848,32,214
1273,12,32,6816,32,213
1273,13,32,6816,32,213
1273,14,32,6816,32,213
1273,15,32,6816,32,213
1406,1,8,256,128,1
1406,2,8,896,128,0
1406,6,1,8192,1024,8
1406,5,8,7021,128,1
1406,7,2,7680,512,15
1406,8,4,7680,256,30
1406,9,8,7552,128,59
1406,10,16,7552,64,118
1406,11,32,7552,32,236
1406,12,32,7552,32,236
1406,13,32,7552,32,236
1406,14,32,7520,32,235
1406,15,32,7520,32,235
1534,1,8,256,128,1
1534,2,8,896,128,0
1534,6,1,9216,1024,9
1534,5,8,7661,128,1
1534,7,2,8704,512,17
1534,8,4,8448,256,33
1534,9,8,8320,128,65
1534,10,16,8256,64,129
1534,11,32,8224,32,257
1534,12,32,8224,32,257
1534,13,32,8224,32,257
1534,14,32,8192,32,256
1534,15,32,8192,32,256
1667,1,8,256,128,1
1667,2,8,896,128,0
1667,6,1,9216,1024,9
1667,5,8,8326,128,1
1667,7,2,9216,512,18
1667,8,4,8960,256,35
1667,9,8,8960,128,70
1667,10,16,8960,64,140
1667,11,32,8960,32,280
1667,12,32,8960,32,280
1667,13,32,8928,32,279
1667,14,32,8928,32,279
1667,15,32,8928,32,279
1795,1,8,256,128,1
1795,2,8,896,128,0
1795,6,1,10240,1024,10
1795,5,8,8966,128,1
1795,7,2,9728,512,19
1795,8,4,9728,256,38
1795,9,8,9728,128,76
1795,10,16,9664,64,151
1795,11,32,9632,32,301
1795,12,32,9632,32,301
1795,13,32,9632,32,301
1795,14,32,9600,32,300
1795,15,32,9600,32,300
1928,1,8,256,128,1
1928,2,8,896,128,0
1928,6,1,11264,1024,11
1928,5,8,9631,128,1
1928,7,2,10752,512,21
1928,8,4,10496,256,41
1928,9,8,10368,128,81
1928,10,16,10368,64,162
1928,11,32,10336,32,323
1928,12,32,10336,32,323
1928,13,32,10336,32,323
1928,14,32,10336,32,323
1928,15,32,10304,32,322
2061,1,8,256,128,1
2061,2,8,896,128,0
2061,6,1,11264,1024,11
2061,5,8,10296,128,1
2061,7,2,11264,512,22
2061,8,4,11264,256,44
2061,9,8,11136,128,87
2061,10,16,11072,64,173
2061,11,32,11072,32,346
2061,12,32,11040,32,345
2061,13,32,11040,32,345
2061,14,32,11040,32,345
2061,15,32,11040,32,345
2189,1,8,256,128,1
2189,2,8,896,128,0
2189,6,1,12288,1024,12
2189,5,8,10936,128,1
2189,7,2,11776,512,23
2189,8,4,11776,256,46
2189,9,8,11776,128,92
2189,10,16,11776,64,184
2189,11,32,11744,32,367
2189,12,32,11744,32,367
2189,13,32,11744,32,367
2189,14,32,11744,32,367
2189,15,32,11712,32,366
2322,1,8,256,128,1
2322,2,8,896,128,0
2322,6,1,13312,1024,13
2322,5,8,11601,128,1
2322,7,2,12800,512,25
2322,8,4,12544,256,49
2322,9,8,12544,128,98
2322,10,16,12480,64,195
2322,11,32,12448,32,389
2322,12,32,12448,32,389
2322,13,32,12448,32,389
2322,14,32,12448,32,389
2322,15,32,12416,32,388
2450,1,8,256,128,1
2450,2,8,896,128,0
2450,6,1,13312,1024,13
2450,5,8,12241,128,1
2450,7,2,13312,512,26
2450,8,4,13312,256,52
2450,9,8,13184,128,103
2450,10,16,13184,64,206
2450,11,32,13152,32,411
2450,12,32,13152,32,411
2450,13,32,13120,32,410
2450,14,32,13120,32,410
2450,15,32,13120,32,410
2583,1,8,256,128,1
2583,2,8,896,128,0
2583,6,1,14336,1024,14
2583,5,8,12906,128,1
2583,7,2,14336,512,28
2583,8,4,14080,256,55
2583,9,8,13952,128,109
2583,10,16,13888,64,217
2583,11,32,13856,32,433
2583,12,32,13856,32,433
2583,13,32,13824,32,432
2583,14,32,13824,32,432
2583,15,32,13824,32,432
2711,1,8,256,128,1
2711,2,8,896,128,0
2711,6,1,15360,1024,15
2711,5,8,13546,128,1
2711,7,2,14848,512,29
2711,8,4,14592,256,57
2711,9,8,14592,128,114
2711,10,16,14592,64,228
2711,11,32,14528,32,454
2711,12,32,14528,32,454
2711,13,32,14528,32,454
2711,14,32,14528,32,454
2711,15,32,14528,32,454
2711,16,8,0,128,0
2711,17,8,0,128,0
2711,18,8,0,128,0
2711,19,8,0,128,0
2711,20,8,0,128,0
2711,21,8,0,128,0
4085,1,8,256,128,1
4085,2,8,896,128,0
4085,6,1,15360,1024,15
4085,5,8,14181,128,2
4085,7,2,15360,512,30
4085,8,4,15104,256,59
4085,9,8,14976,128,117
4085,10,16,14912,64,233
4085,11,32,14880,32,465
4085,12,32,14880,32,465
4085,13,32,14880,32,465
4085,14,32,14848,32,464
4085,15,32,14848,32,464
4085,16,32,14848,32,464
4085,17,32,14848,32,464
4085,18,8,14976,128,117
4085,19,2,15360,512,30
4085,20,8,14976,128,117
4085,21,8,14976,128,117
4258,1,8,256,128,1
4258,2,8,896,128,0
4258,6,1,16384,1024,16
4258,5,8,14700,128,2
4258,7,2,15872,512,31
4258,8,4,15616,256,61
4258,9,8,15616,128,122
4258,10,16,15552,64,243
4258,11,32,15520,32,485
4258,12,32,15488,32,484
4258,13,32,15488,32,484
4258,14,32,15488,32,484
4258,15,32,15488,32,484
4258,16,32,15488,32,484
4258,17,32,15488,32,484
4258,18,8,15616,128,122
4258,19,2,15872,512,31
